journal_name,journal_alias,issn,eissn,impact_factor,quartile,source_year,source,quartile_system
Frontiers in Environmental Archaeology,,,,2.1,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Environmental Chemistry,,,,4.7,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Environmental Economics,,,,2.6,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Environmental Science,,,,4.4,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Epidemiology,,,,2.9,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Food Science and Technology,,,,3.8,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Forests and Global Change,,,,4.3,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Fungal Biology,,,,4.3,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Future Transportation,,,,1.9,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Gastroenterology,,,,1.2,Q4,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Genetics,,,,3.0,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Genome Editing,,,,5.9,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Global Women's Health,,,,2.5,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Health Services,,,,2.6,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Hematology,,,,1.2,Q4,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Horticulture,,,,3.0,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Human Dynamics,,,,2.8,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Human Neuroscience,,,,3.6,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Immunology,Front Immunol,,,7.0,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Insect Science,,,,3.7,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Integrative Neuroscience,,,,3.0,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Language Sciences,,,,1.4,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Marine Science,,,,3.4,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Materials,,,,3.5,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Mechanical Engineering,,,,3.3,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Medical Technology,,,,4.6,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Medicine,Front Med (Lausanne),,,3.6,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Microbiology,Front Microbiol,,,5.8,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Microbiomes,,,,3.0,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Molecular Biosciences,,,,4.4,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Molecular Neuroscience,,,,4.4,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Nanotechnology,,,,5.8,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Nephrology,,,,2.9,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Network Physiology,,,,3.1,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Neural Circuits,,,,2.9,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Neuroanatomy,,,,2.4,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Neuroergonomics,,,,3.1,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Neuroimaging,,,,2.5,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Neuroinformatics,,,,2.9,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Neurology,Front Neurol,,,3.3,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Neurorobotics,,,,3.5,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Neuroscience,,,,4.0,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Nuclear Engineering,,,,1.9,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Nuclear Medicine,,,,2.5,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Nutrition,,,,5.5,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Oncology,Front Oncol,,,3.4,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Ophthalmology,,,,2.4,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Oral Health,,,,3.4,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Pain Research,,,,3.5,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Parasitology,,,,2.1,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Pediatrics,,,,2.2,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Pharmacology,Front Pharmacol,,,5.4,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Photonics,,,,1.9,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Physics,,,,2.2,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Physiology,,,,4.3,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Plant Science,,,,5.9,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Political Science,,,,2.0,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Psychiatry,,,,3.8,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Psychology,Front Psychol,,,3.8,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Public Health,Front Public Health,,,4.1,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Radiology,,,,4.0,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Rehabilitation Sciences,,,,2.5,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Remote Sensing,,,,3.5,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Reproductive Health,,,,3.1,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Research Metrics and Analytics,,,,3.1,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Robotics and AI,,,,3.7,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Signal Processing,,,,2.6,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Sleep,,,,2.0,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Sociology,,,,2.3,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Soil Science,,,,6.0,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Space Technologies,,,,2.4,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Sports and Active Living,,,,3.0,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Stroke,,,,1.2,Q4,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Surgery,,,,1.9,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Sustainability,,,,4.2,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Sustainable Cities,,,,3.3,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Sustainable Food Systems,,,,4.1,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Sustainable Tourism,,,,1.7,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Synaptic Neuroscience,,,,6.9,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Systems Biology,,,,2.6,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Systems Neuroscience,,,,3.6,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Toxicology,,,,5.1,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Transplantation,,,,2.1,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Urology,,,,1.7,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Veterinary Science,,,,3.1,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Virology,,,,2.3,Q3,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Virtual Reality,,,,3.9,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Frontiers in Water,,,,3.7,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
International Journal of Public Health,,,,3.2,Q2,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Journal of Abdominal Wall Surgery,,,,3.6,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Journal of Cutaneous Immunology and Allergy,,,,0.9,Q4,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Journal of Pharmacy and Pharmaceutical Sciences,,,,5.5,Q1,2025,https://www.frontiersin.org/about/impact,JCR JIF quartile (publisher-reported; category unspecified)
Medicina,Medicina (Kaunas),1010-660X,1648-9144,2.9,,2025,https://www.mdpi.com/journal/medicina/imprint,
Nature,Nature,,,56.1,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Astronomy,,,,15.2,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Biomedical Engineering,,,,26.3,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Biotechnology,,,,44.5,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Cancer,,,,28.0,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Catalysis,,,,48.3,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Cell Biology,,,,22.7,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Chemical Biology,,,,15.8,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Chemistry,,,,24.5,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Climate Change,,,,26.9,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Communications,Nat Commun,,,18.1,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Computational Science,,,,20.3,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Ecology & Evolution,,,,17.1,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Electronics,,,,42.3,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Energy,,,,70.1,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Food,,,,24.7,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Genetics,,,,25.5,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Geoscience,,,,20.6,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Human Behaviour,,,,17.5,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Immunology,Nat Immunol,,,26.5,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Machine Intelligence,,,,29.8,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Materials,,,,38.0,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Medicine,Nat Med,,,52.5,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Mental Health,,,,9.3,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Metabolism,,,,27.5,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Methods,,,,28.3,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Microbiology,,,,18.7,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Nanotechnology,,,,37.5,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Neuroscience,,,,20.3,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Photonics,,,,38.1,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Physics,,,,18.0,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Plants,,,,15.0,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Protocols,,,,18.4,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Cancer,Nat Rev Cancer,,,60.7,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Cardiology,,,,50.2,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Chemistry,,,,50.3,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Clinical Oncology,,,,94.6,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Disease Primers,,,,79.8,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Drug Discovery,,,,91.2,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Earth & Environment,,,,74.1,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Endocrinology,,,,39.1,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Gastroenterology & Hepatology,,,,57.5,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Genetics,,,,51.4,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Immunology,,,,47.1,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Materials,,,,83.3,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Methods Primers,,,,54.2,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Microbiology,,,,104.6,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Molecular Cell Biology,,,,118.0,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Nephrology,,,,46.7,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Neurology,,,,31.2,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Neuroscience,,,,29.0,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Physics,,,,46.6,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Psychology,,,,22.0,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Rheumatology,,,,33.7,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Reviews Urology,,,,13.6,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Structural and Molecular Biology,,,,10.1,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
Nature Sustainability,,,,32.1,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj 2D Materials and Applications,,,,9.2,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Aging,,,,13.0,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Biofilms & Microbiomes,,,,11.4,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Breast Cancer,,,,8.4,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Clean Water,,,,11.0,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Climate and Atmospheric Science,,,,9.6,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Computational Materials,,,,13.1,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Digital Medicine,,,,18.0,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Flexible Electronics,,,,15.4,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Genomic Medicine,,,,5.3,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Materials Degradation,,,,7.5,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Microgravity,,,,4.9,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Ocean Sustainability,,,,8.8,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Parkinson's Disease,,,,8.5,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
npj Precision Oncology,,,,9.9,,2025,https://www.nature.com/nature-portfolio/about-journals/journal-metrics,
